epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,605.801,0.92727,3.87509,0.49085,0.68442,1.43001,0.97839,0.97382,0.99217,0.72738,0.81392,0.78495,0.70375,0.2151,1.01205,3.36637,0.44212,0.48282,1.59865,0.00339766,0.00339766,0.00339766
75,613.973,0.94171,3.80587,0.48171,0.70937,1.43268,0.97824,0.96672,0.98829,0.69929,0.82943,0.77419,0.72234,0.23669,1.08959,3.34866,0.44309,0.51021,1.68572,0.00327608,0.00327608,0.00327608
76,622.274,0.90663,3.82999,0.46626,0.69357,1.42319,0.98919,0.98411,0.99152,0.67908,0.82556,0.78495,0.70651,0.27231,1.15367,3.23149,0.44074,0.51071,1.76769,0.00315572,0.00315572,0.00315572
77,630.773,0.92153,3.79109,0.47625,0.7084,1.42602,0.98913,0.97807,0.98822,0.71176,0.82608,0.81715,0.73401,0.26856,1.07817,3.23813,0.43765,0.51065,1.68709,0.00303665,0.00303665,0.00303665
78,639.203,0.91273,3.82209,0.48128,0.69847,1.40271,0.98798,0.97849,0.98698,0.70504,0.85761,0.84946,0.79307,0.30352,1.11264,3.08548,0.42471,0.51018,1.70492,0.00291897,0.00291897,0.00291897
79,647.856,0.94282,3.80235,0.46982,0.70849,1.43743,0.99857,0.97849,0.98683,0.68132,0.86654,0.84946,0.79904,0.3134,1.19554,3.00935,0.42281,0.51252,1.81575,0.00280275,0.00280275,0.00280275
80,655.965,0.9324,3.53749,0.46847,0.68449,1.41142,0.97361,0.97849,0.98554,0.69149,0.86652,0.87097,0.85337,0.30744,1.14042,2.98763,0.4269,0.51707,1.75127,0.00268806,0.00268806,0.00268806
81,664.014,0.92797,3.8605,0.4785,0.68793,1.42655,0.99807,0.98925,0.99288,0.69131,0.88168,0.87097,0.84757,0.30855,1.19126,2.97384,0.42603,0.49112,1.81316,0.002575,0.002575,0.002575
82,672.264,0.95361,3.55933,0.46615,0.69906,1.43828,0.99793,0.98925,0.99412,0.69765,0.8454,0.83871,0.76484,0.26543,1.14341,3.03511,0.41673,0.5128,1.74977,0.00246363,0.00246363,0.00246363
83,680.393,0.92011,3.82205,0.47111,0.67895,1.4095,1,0.98777,0.99403,0.71892,0.86653,0.84946,0.80523,0.29328,1.03719,3.00324,0.4143,0.46958,1.63038,0.00235404,0.00235404,0.00235404
84,688.849,0.91783,3.68767,0.46332,0.67833,1.39507,0.98922,0.98699,0.99373,0.76343,0.87603,0.84946,0.80705,0.27999,0.89871,2.975,0.4024,0.44672,1.48545,0.00224629,0.00224629,0.00224629
85,697.33,0.93733,3.82076,0.46381,0.70239,1.43072,0.98919,0.98382,0.99272,0.75121,0.89907,0.88172,0.86249,0.28204,0.93156,2.94728,0.41358,0.45618,1.53838,0.00214046,0.00214046,0.00214046
86,705.628,0.91877,3.51498,0.44617,0.71451,1.44091,0.99881,0.97849,0.9928,0.71325,0.88819,0.87097,0.83499,0.30783,1.07011,2.89545,0.41845,0.4708,1.67043,0.00203663,0.00203663,0.00203663
87,713.705,0.88581,3.46669,0.45864,0.64763,1.38495,0.99828,0.97849,0.99319,0.7089,0.87753,0.86022,0.82189,0.30415,1.11561,2.8907,0.41297,0.47032,1.70727,0.00193486,0.00193486,0.00193486
88,721.993,0.89034,3.57564,0.45982,0.67182,1.41216,1,0.98614,0.99449,0.7456,0.87878,0.86022,0.83444,0.29613,1.01103,2.88963,0.40684,0.43621,1.61614,0.00183523,0.00183523,0.00183523
89,730.364,0.8743,3.64842,0.45546,0.65561,1.38487,0.99793,0.98925,0.99459,0.74934,0.85851,0.84946,0.826,0.31399,0.97378,2.88643,0.40878,0.4209,1.5649,0.0017378,0.0017378,0.0017378
90,738.743,0.9023,3.61002,0.46444,0.68189,1.42262,0.99887,0.98925,0.99489,0.74471,0.89285,0.88172,0.8511,0.33019,1.00041,2.8294,0.41202,0.42944,1.58526,0.00164264,0.00164264,0.00164264
91,747.287,0.91177,3.74515,0.46216,0.68724,1.42516,1,0.98863,0.99489,0.74615,0.85511,0.83871,0.78587,0.31007,1.00522,2.93685,0.40859,0.42546,1.59928,0.00154982,0.00154982,0.00154982
92,755.497,0.88662,3.67966,0.46008,0.65907,1.40703,0.98827,1,0.99479,0.7364,0.8394,0.8172,0.75721,0.30367,1.03652,2.9251,0.40729,0.42479,1.62494,0.0014594,0.0014594,0.0014594
93,763.828,0.86285,3.62438,0.45868,0.65923,1.39278,0.98697,1,0.99479,0.75499,0.88806,0.87097,0.82238,0.32193,0.98247,2.82488,0.39896,0.41179,1.56147,0.00137143,0.00137143,0.00137143
94,771.908,0.89468,3.59136,0.46374,0.65249,1.40498,1,0.98721,0.99469,0.74614,0.89945,0.88172,0.83393,0.32817,1.0097,2.78708,0.40525,0.41995,1.59187,0.00128599,0.00128599,0.00128599
95,780.145,0.8913,3.6571,0.45562,0.69109,1.42939,0.99955,0.98925,0.99439,0.75545,0.91899,0.90323,0.86012,0.34639,0.97619,2.76093,0.40748,0.41343,1.56199,0.00120313,0.00120313,0.00120313
96,788.756,0.87549,3.46671,0.45903,0.64938,1.39146,0.99607,1,0.995,0.77204,0.88502,0.87097,0.81499,0.33221,0.9209,2.70246,0.40122,0.39258,1.52006,0.0011229,0.0011229,0.0011229
